[2023-03-20T10:20:59.956] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2023-03-20T10:21:18.879] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2023-03-20T10:21:23.342] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2023-03-20T10:21:29.887] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2023-03-20T10:43:40.415] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2023-03-20T11:02:22.602] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2023-03-20T11:02:22.937] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2023-03-20T11:03:03.505] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-03-20T11:03:11.237] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-03-20T11:03:11.371] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-03-20T11:03:11.483] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-03-20T11:03:11.590] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-03-18T06:30:03.550] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-03-18T06:40:20.199] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2023-03-18T06:40:23.908] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2023-03-18T06:40:29.517] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2023-03-19T17:19:28.650] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2023-03-19T17:19:28.673] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2023-03-19T17:19:30.476] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2023-03-19T17:19:31.170] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2023-03-19T17:19:31.174] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2023-03-19T18:36:24.474] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-03-19T21:59:41.035] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/productos, Metodo GET
[2023-03-19T21:59:41.503] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-03-19T21:59:51.462] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2023-03-19T21:59:52.297] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2023-03-19T21:59:52.303] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2023-03-20T07:37:19.433] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-03-20T07:37:25.795] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2023-03-20T07:37:25.805] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2023-03-20T07:37:26.199] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2023-03-20T08:03:21.501] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2023-03-20T08:03:21.514] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2023-03-20T08:15:05.364] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2023-03-20T08:15:05.625] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2023-03-20T08:15:39.533] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2023-03-20T08:15:39.806] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2023-03-20T08:15:49.845] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2023-03-20T08:15:50.104] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2023-03-20T08:16:56.068] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2023-03-20T08:16:56.072] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2023-03-20T08:18:14.617] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2023-03-20T08:18:14.622] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2023-03-20T09:24:45.628] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2023-03-20T09:24:45.633] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2023-03-20T09:25:40.430] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
